,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
0,3,2019-04-26 00:00:00.000000,2019-10-06 00:00:00.000000,46,5,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1,4,2019-05-19 00:00:00.000000,2019-05-19 00:00:00.000000,1,1,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,*,*
2,6,2019-06-06 00:00:00.000000,2019-06-06 00:00:00.000000,1,1,2.0,11.0,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
3,13,2019-05-23 00:00:00.000000,2019-05-23 00:00:00.000000,1,1,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
4,16,2019-06-13 00:00:00.000000,2019-06-13 00:00:00.000000,1,1,2.0,86.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
5,19,2019-05-25 00:00:00.000000,2019-05-25 00:00:00.000000,1,1,2.0,11.0,*,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ITA,GE
6,24,2019-05-20 00:00:00.000000,2019-05-20 00:00:00.000000,1,1,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
7,27,2019-05-15 00:00:00.000000,2019-05-25 00:00:00.000000,11,3,1.0,*,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
8,31,2019-02-06 00:00:00.000000,2019-02-06 00:00:00.000000,1,1,2.0,86.0,144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
9,38,2019-05-17 00:00:00.000000,2019-05-17 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
10,40,2019-07-05 00:00:00.000000,2019-05-31 00:00:00.000000,25,2,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
11,42,2019-05-19 00:00:00.000000,2019-05-19 00:00:00.000000,1,1,2.0,253.0,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,*,*
12,43,2018-10-13 00:00:00.000000,2019-06-14 00:00:00.000000,245,124,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,*,*
13,49,2019-03-22 00:00:00.000000,2019-05-28 00:00:00.000000,68,9,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
14,51,2019-10-06 00:00:00.000000,2019-10-06 00:00:00.000000,1,1,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
15,52,2019-05-17 00:00:00.000000,2019-08-06 00:00:00.000000,23,2,2.0,156.0,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
16,54,2017-02-11 00:00:00.000000,2019-06-16 00:00:00.000000,592,206,1.0,*,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BO
