,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
0,1,2019-05-27,2019-05-27,1,1,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1,2,2019-05-31,2019-06-13,14,3,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RN
4,5,2019-05-06,2019-10-06,6,2,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PV
6,7,2019-05-15,2019-05-20,6,2,2,11,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FI
7,8,2019-06-15,2019-06-15,1,1,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
8,9,2019-06-16,2019-06-16,1,1,2,11,124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ITA,MB
9,10,2018-07-04,2019-06-15,435,276,1,226,131,0,69,0,1,0,2,0,0,0,0,11,0,0,0,0,0,0,0,ITA,MI
10,11,2019-05-29,2019-05-29,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
11,12,2019-03-18,2019-11-06,86,6,5,128,132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
13,14,2019-01-03,2019-06-15,107,34,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BA
14,15,2019-08-04,2019-06-06,60,5,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,LI
16,17,2019-05-22,2019-05-22,1,1,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BA
17,18,2019-03-05,2019-02-06,31,7,2,86,144,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,ITA,BG
19,20,2019-03-14,2019-10-06,89,12,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ITA,PC
20,21,2019-06-05,2019-05-27,22,3,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
21,22,2019-11-06,2019-11-06,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BR
22,23,2019-04-06,2019-06-15,12,8,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FR
24,25,2019-08-06,2019-06-15,8,2,2,220,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VE
25,26,2019-07-04,2019-05-27,51,6,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NA
27,28,2018-10-25,2019-05-20,208,107,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FG
28,29,2019-03-26,2019-12-06,79,76,1,128,131,2,0,0,18,0,1,0,0,0,0,6,2,1,3,0,0,2,26,ITA,MN
29,30,2019-05-30,2019-05-30,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,LC
31,32,2019-11-06,2019-11-06,1,1,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FI
32,33,2019-05-05,2019-06-16,43,31,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ITA,BG
33,34,2019-06-13,2019-06-13,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
34,35,2019-05-26,2019-05-26,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BO
35,36,2019-07-06,2019-07-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
36,37,2019-05-27,2019-05-27,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
38,39,2019-06-13,2019-06-13,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BS
40,41,2019-06-15,2019-06-15,1,1,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
43,44,2019-06-05,2019-06-14,40,15,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NA
44,45,2019-07-02,2019-06-13,127,37,1,173,133,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,ITA,FE
45,46,2019-05-19,2019-05-19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
46,47,2019-05-28,2019-05-28,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PD
47,48,2019-06-14,2019-06-14,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NA
49,50,2019-11-06,2019-11-06,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NA
52,53,2019-06-14,2019-06-14,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CE
54,55,2019-05-31,2019-05-31,1,1,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BO
56,57,2019-05-21,2019-05-29,9,4,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,IS
58,59,2019-10-06,2019-10-06,1,1,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FC
59,60,2019-05-27,2019-06-16,21,3,2,86,144,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,ITA,MI
61,62,2019-07-04,2019-06-14,69,32,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,SP
62,63,2019-06-15,2019-06-15,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
63,64,2019-05-16,2019-05-16,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MO
64,65,2019-06-15,2019-06-15,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TO
66,67,2019-05-16,2019-05-16,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PV
68,69,2019-12-06,2019-12-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,OR
69,70,2019-05-16,2019-05-16,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FG
70,71,2017-05-06,2019-06-15,741,354,1,173,133,2,0,0,3,0,0,0,0,1,1,0,0,0,3,1,0,0,1,ITA,MI
72,73,2019-05-27,2019-05-27,1,1,2,156,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TO
73,74,2019-04-24,2019-05-24,31,7,2,11,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TO
74,75,2019-05-25,2019-05-26,2,2,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,SI
75,76,2019-06-13,2019-06-13,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VA
76,77,2019-09-02,2019-01-06,113,70,1,173,133,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MO
77,78,2019-06-15,2019-06-16,2,2,5,226,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RE
79,80,2019-02-15,2019-05-29,104,39,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,ITA,MI
80,81,2019-07-06,2019-07-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VI
81,82,2019-05-27,2019-03-06,8,3,2,86,144,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,ITA,TO
82,83,2019-06-16,2019-06-16,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BS
83,84,2019-12-05,2019-05-29,18,2,2,219,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,UD
84,85,2019-05-17,2019-05-17,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,SI
85,86,2019-06-06,2019-11-06,6,2,1,173,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
86,87,2019-06-14,2019-06-14,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CB
87,88,2019-07-05,2019-06-14,39,19,2,86,144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,ITA,FI
89,90,2018-06-21,2019-06-14,359,65,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
90,91,2019-07-04,2019-06-15,70,16,2,86,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PA
93,94,2019-06-06,2019-06-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MB
94,95,2019-05-06,2019-08-06,4,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PA
95,96,2019-06-15,2019-06-15,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TV
96,97,2019-08-06,2019-06-15,8,2,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,SA
98,99,2019-05-06,2019-05-06,1,1,5,254,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BS
99,100,2019-05-18,2019-05-18,1,1,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,ITA,BG
100,101,2019-05-25,2019-05-25,1,1,5,254,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BZ
102,103,2019-05-31,2019-06-16,17,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CT
103,104,2019-01-06,2019-01-06,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CO
104,105,2019-05-24,2019-05-24,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
107,108,2019-05-17,2019-05-17,1,1,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
108,109,2019-03-26,2019-06-13,80,15,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FC
110,111,2019-05-19,2019-10-06,23,4,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BG
111,112,2019-04-05,2019-05-19,16,3,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TO
112,113,2019-05-05,2019-10-06,37,5,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ITA,TO
113,114,2019-12-06,2019-06-13,2,2,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PR
114,115,2018-06-30,2019-04-06,340,67,1,228,131,0,6,1,0,0,1,17,1,0,0,2,1,0,0,0,0,0,4,ITA,MI
115,116,2019-05-24,2019-08-06,16,3,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PA
116,117,2019-12-06,2019-06-15,4,2,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BS
117,118,2019-05-21,2019-05-21,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TO
118,119,2019-03-06,2019-03-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
119,120,2019-09-04,2019-02-06,55,7,1,173,133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ITA,MN
120,121,2019-12-06,2019-12-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TV
121,122,2019-05-22,2019-06-14,24,4,2,156,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PN
122,123,2019-10-06,2019-10-06,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NA
123,124,2019-06-06,2019-06-06,1,1,1,33,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TO
124,125,2019-05-30,2019-05-30,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PC
125,126,2019-02-06,2019-03-06,2,2,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NA
126,127,2019-10-01,2019-06-16,158,57,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MO
