"id","name"
1,Explorer 3
2,Explorer 4
3,Explorer
4,Explorer 5
6,Explorer 6
7,Explorer 7
8,Explorer 8
9,Explorer 9
10,Explorer 10
11,Explorer 11
12,Explorer 12
16,IE Large Screen
17,IE Large Screen 9
18,IE Large Screen 10
19,IE Large Screen 11
20,IE Large Screen 12
24,Opera -
25,Opera 5
26,Opera 6
27,Opera 7
28,Opera 8
29,Opera 9
30,Opera 10
31,Opera 11
32,Opera 12
33,Opera 15+
50,Konqueror
60,Firefox
63,Safari
66,AvantGo
80,Blackberry
86,Chrome
87,Firefox 3
88,Firefox 2
89,Firefox 1
90,Opera Mini
127,unknown
128,Mobile Safari 12
156,Firefox 4+
157,Firefox Alpha
158,Firefox Beta
159,Iceweasel
160,Pale Moon (Firefox Variant)
161,Firefox Mobile
162,SeaMonkey
163,SeaMonkey 1
164,SeaMonkey 2
165,SeaMonkey 3
166,SeaMonkey 4
167,Chromium
168,Iron
169,Comodo Dragon
170,Yandex Browser
171,Mail.ru Chromium Browser
172,Chrome Frame
173,Chrome Mobile
174,Chrome Mobile iOS
175,webOS Browser
176,Sogou Explorer
177,RockMelt
178,Opera Mobile
179,Opera Mobile 10
180,Opera Mobile 11
181,Opera Mobile 12
182,Opera Tablet
183,Opera Tablet 10
184,Opera Tablet 11
185,Opera Tablet 12
186,Opera Mini 3
187,Opera Mini 4
188,Opera Mini 5
189,Opera Mini 6
190,Opera Mini 7
191,Opera Mini 8
192,Opera Mini 9
193,Opera Mini 10
194,Opera Mini 11
195,Opera Mini 12
196,Opera Mini 13
197,Opera Mini 14
198,Opera Mini 15
199,Ovi Browser
200,Palm Blazer
201,IE Mobile
202,IE Mobile 6
203,IE Mobile 7
204,IE Mobile 8
205,IE Mobile 9
206,IE Mobile 10
207,IE Mobile 11
208,IE Mobile 12
209,K-Meleon
210,Maxthon
211,NetFront
212,NetFront NX
213,Nokia OSS Browser
214,Safari 4
215,Safari 5
216,Safari 6
217,Safari 7
218,Safari 8
219,Safari 9
220,Safari 10
221,Mobile Safari
222,Mobile Safari 4
223,Mobile Safari 5
224,Mobile Safari 6
225,Mobile Safari 7
226,Mobile Safari 8
227,Mobile Safari 9
228,Mobile Safari 10
229,Nokia Browser
230,Nokia Browser 1
231,Nokia Browser 2
232,Nokia Browser 7
233,Nokia Browser 8
234,Nokia Browser 9
235,BlackBerry WebKit 2
236,BlackBerry WebKit 6
237,BlackBerry WebKit 7
238,Android
239,Android 1
240,Android 2
241,Android 3
242,Android 4
243,Android 5
244,Android 6
245,AOL
246,Amazon Silk
247,Bunjalloo
248,Conkeror
249,Crazy Browser
250,Epiphany
251,Edge
252,Edge Mobile
253,Safari 11
254,Mobile Safari 11
255,Safari 12
