"id","name"
1,Windows XP
2,Windows 2000
3,Windows 98
4,Windows ME
5,Windows 95
7,Windows  NT 4
8,Windows CE
9,Windows (other)
11,Windows Vista
12,Windows Phone
20,Mac OS X
21,Mac PowerPC
30,Linux
31,Ubuntu
32,Debian
33,Gentoo
34,Fedora
51,Solaris
53,Free BSD
56,NetBSD
57,OpenBSD
81,Web TV
103,Nokia
104,SonyEricsson
118,Symbian
124,Windows 7
126,Nintendo Wii
127,Nintendo DS
128,PlayStation
129,PlayStation Portable
130,BlackBerry
131,iPhone
132,iPad
133,Android
134,Windows 8
135,BlackBerry Tablet OS
136,MeeGo
137,Kindle
138,iPod
139,Nintendo 3DS
140,Motorola
141,Samsung
142,webOS
143,Windows 8.1
144,Windows 10
